"","3.7.1.Proporción de mujeres en edad reproductiva (de 15 a 49 años) con demanda satisfecha de planificación familiar con métodos modernos"
"Entidad Federativa","2014"
"Estados Unidos Mexicanos","68"
"Aguascalientes","66"
"Baja California","74"
"Baja California Sur","73"
"Campeche","66"
"Coahuila de Zaragoza","71"
"Colima","71"
"Chiapas","56"
"Chihuahua","74"
"Ciudad de México","73"
"Durango","71"
"Guanajuato","62"
"Guerrero","64"
"Hidalgo","70"
"Jalisco","65"
"México","74"
"Michoacán de Ocampo","63"
"Morelos","71"
"Nayarit","73"
"Nuevo León","69"
"Oaxaca","59"
"Puebla","69"
"Querétaro","68"
"Quintana Roo","68"
"San Luis Potosí","68"
"Sinaloa","76"
"Sonora","73"
"Tabasco","66"
"Tamaulipas","71"
"Tlaxcala","70"
"Veracruz de Ignacio de la Llave","66"
"Yucatán","64"
"Zacatecas","65"
