"","3.7.2.aTasa de fecundidad de las adolescentes de 10 a 14 años por cada 1,000 adolescentes en ese grupo de edad","","","","","",""
"Entidad Federativa","2016","2015","2014","2013","2012","2011","2010"
"Estados Unidos Mexicanos","5,482,890","5,498,093","5,515,287","5,534,419","5,555,547","5,577,592","5,600,519"
"Aguascalientes","62,272","62,461","62,488","62,473","62,496","62,536","62,549"
"Baja California","152,939","153,031","153,450","154,293","155,379","156,539","157,556"
"Baja California Sur","34,589","33,867","33,143","32,419","31,699","30,984","30,251"
"Campeche","39,810","39,679","39,597","39,611","39,740","39,962","40,284"
"Coahuila de Zaragoza","133,284","133,666","134,046","134,390","134,635","134,749","134,695"
"Colima","31,249","30,960","30,685","30,442","30,247","30,125","30,076"
"Chiapas","277,175","279,037","280,754","282,224","283,336","283,990","284,128"
"Chihuahua","170,372","169,949","169,616","169,367","169,194","169,140","169,183"
"Ciudad de México","320,053","323,562","327,256","331,252","335,524","340,235","345,577"
"Durango","83,538","84,117","84,713","85,326","85,910","86,443","86,828"
"Guanajuato","279,678","282,043","284,572","287,278","290,103","292,962","295,638"
"Guerrero","182,559","184,639","186,709","188,822","190,870","192,797","194,671"
"Hidalgo","134,192","134,124","133,936","133,719","133,582","133,625","133,840"
"Jalisco","359,410","359,318","359,254","359,301","359,580","360,193","361,086"
"México","752,525","752,134","751,694","750,874","750,486","750,352","749,827"
"Michoacán de Ocampo","213,810","214,827","216,145","217,958","220,149","222,682","225,709"
"Morelos","83,300","83,262","83,342","83,587","83,996","84,595","85,370"
"Nayarit","56,165","55,479","54,861","54,283","53,782","53,376","53,065"
"Nuevo León","217,799","217,273","216,551","215,573","214,458","213,214","211,947"
"Oaxaca","195,512","197,140","198,851","200,904","203,068","205,040","207,038"
"Puebla","300,459","302,128","303,634","305,114","306,467","307,391","308,490"
"Querétaro","92,617","92,584","92,692","92,806","92,980","93,197","93,466"
"Quintana Roo","69,423","68,070","67,185","66,283","65,499","64,772","64,047"
"San Luis Potosí","131,217","132,027","132,879","133,707","134,456","135,155","135,785"
"Sinaloa","132,700","133,748","134,810","135,831","136,792","137,654","138,382"
"Sonora","132,274","131,821","131,351","130,768","130,178","129,621","129,064"
"Tabasco","109,775","110,242","110,430","110,680","111,079","111,455","111,933"
"Tamaulipas","154,892","154,244","154,017","153,946","153,833","153,636","153,427"
"Tlaxcala","61,310","61,305","61,237","61,123","60,988","60,847","60,702"
"Veracruz de Ignacio de la Llave","352,855","356,155","359,918","364,023","368,177","372,430","376,744"
"Yucatán","90,028","89,962","90,056","90,284","90,646","91,136","91,777"
"Zacatecas","75,109","75,239","75,415","75,758","76,218","76,759","77,384"
