"","3.7.1.Proporción de mujeres en edad reproductiva (de 15 a 49 años) con demanda satisfecha de planificación familiar con métodos modernos"
"Entidad Federativa","2014"
"Estados Unidos Mexicanos","84"
"Aguascalientes","82"
"Baja California","86"
"Baja California Sur","86"
"Campeche","83"
"Coahuila de Zaragoza","85"
"Colima","85"
"Chiapas","77"
"Chihuahua","85"
"Ciudad de México","85"
"Durango","85"
"Guanajuato","82"
"Guerrero","81"
"Hidalgo","84"
"Jalisco","84"
"México","87"
"Michoacán de Ocampo","81"
"Morelos","84"
"Nayarit","86"
"Nuevo León","83"
"Oaxaca","79"
"Puebla","86"
"Querétaro","84"
"Quintana Roo","85"
"San Luis Potosí","82"
"Sinaloa","86"
"Sonora","86"
"Tabasco","81"
"Tamaulipas","84"
"Tlaxcala","85"
"Veracruz de Ignacio de la Llave","82"
"Yucatán","84"
"Zacatecas","81"
