"","3.7.1.Proporción de mujeres en edad reproductiva (de 15 a 49 años) con demanda satisfecha de planificación familiar con métodos modernos"
"Entidad Federativa","2014"
"Estados Unidos Mexicanos","11"
"Aguascalientes","11"
"Baja California","9"
"Baja California Sur","10"
"Campeche","13"
"Coahuila de Zaragoza","11"
"Colima","10"
"Chiapas","19"
"Chihuahua","8"
"Ciudad de México","9"
"Durango","11"
"Guanajuato","14"
"Guerrero","14"
"Hidalgo","12"
"Jalisco","11"
"México","9"
"Michoacán de Ocampo","13"
"Morelos","11"
"Nayarit","11"
"Nuevo León","9"
"Oaxaca","18"
"Puebla","12"
"Querétaro","11"
"Quintana Roo","12"
"San Luis Potosí","11"
"Sinaloa","8"
"Sonora","9"
"Tabasco","12"
"Tamaulipas","10"
"Tlaxcala","10"
"Veracruz de Ignacio de la Llave","13"
"Yucatán","11"
"Zacatecas","12"
