"","1.2.1.Proporción de la población que vive por debajo del umbral nacional de la pobreza, desglosada por sexo y edad","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Entidad Federativa","2014","2014","2014","2014","2014","2014","2014","2014","2014","2012","2012","2012","2012","2012","2012","2012","2012","2012","2010","2010","2010","2010","2010","2010","2010","2010","2010"
"","Total","Hombres","Mujeres","Población menor de 18 años","Población de 18 años o más","Población entre 12 y 29 años de edad","Población de 0 a 11 años y de 30 años o más","Población de 65 años o más","Población menor de 65 años","Total","Hombres","Mujeres","Población menor de 18 años","Población de 18 años o más","Población entre 12 y 29 años de edad","Población de 0 a 11 años y de 30 años o más","Población de 65 años o más","Población menor de 65 años","Total","Hombres","Mujeres","Población menor de 18 años","Población de 18 años o más","Población entre 12 y 29 años de edad","Población de 0 a 11 años y de 30 años o más","Población de 65 años o más","Población menor de 65 años"
"Estados Unidos Mexicanos","119,871","58,353","61,518","39,751","80,120","37,035","82,836","9,062","110,809","117,306","57,179","60,127","39,364","77,943","37,056","80,250","8,639","108,668","114,539","55,819","58,720","40,428","74,111","36,443","78,097","7,788","106,751"
"Aguascalientes","1,274","NA","NA","NA","NA","NA","NA","NA","NA","1,238","NA","NA","NA","NA","NA","NA","NA","NA","1,198","NA","NA","NA","NA","NA","NA","NA","NA"
"Baja California","3,444","NA","NA","NA","NA","NA","NA","NA","NA","3,344","NA","NA","NA","NA","NA","NA","NA","NA","3,235","NA","NA","NA","NA","NA","NA","NA","NA"
"Baja California Sur","748","NA","NA","NA","NA","NA","NA","NA","NA","702","NA","NA","NA","NA","NA","NA","NA","NA","655","NA","NA","NA","NA","NA","NA","NA","NA"
"Campeche","897","NA","NA","NA","NA","NA","NA","NA","NA","868","NA","NA","NA","NA","NA","NA","NA","NA","842","NA","NA","NA","NA","NA","NA","NA","NA"
"Coahuila de Zaragoza","2,936","NA","NA","NA","NA","NA","NA","NA","NA","2,862","NA","NA","NA","NA","NA","NA","NA","NA","2,790","NA","NA","NA","NA","NA","NA","NA","NA"
"Colima","713","NA","NA","NA","NA","NA","NA","NA","NA","689","NA","NA","NA","NA","NA","NA","NA","NA","664","NA","NA","NA","NA","NA","NA","NA","NA"
"Chiapas","5,198","NA","NA","NA","NA","NA","NA","NA","NA","5,064","NA","NA","NA","NA","NA","NA","NA","NA","4,926","NA","NA","NA","NA","NA","NA","NA","NA"
