"","4.6.3.Tasa de alfabetización de las mujeres de 15 a 24 años de edad","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Entidad Federativa","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990"
"Estados Unidos Mexicanos","10,812,731","10,812,649","10,797,580","10,732,885","10,686,510","10,625,820","10,555,047","10,475,711","10,347,897","10,243,536","10,145,078","10,059,843","9,991,076","9,939,287","9,890,446","9,842,069","9,798,974","9,758,573","9,716,132","9,662,917","9,597,754","9,518,961","9,422,789","9,310,054","9,179,283","9,031,928","8,865,900"
"Aguascalientes","122,148","121,473","120,657","119,589","118,412","117,027","115,488","113,856","112,237","110,364","108,570","106,982","105,651","104,561","103,544","102,587","101,801","101,123","100,400","99,608","98,734","97,722","96,559","95,218","93,700","91,970","90,029"
"Baja California","314,602","313,419","311,487","308,593","304,997","300,668","295,743","290,569","287,058","281,346","275,748","270,260","264,955","259,850","254,733","249,760","245,099","240,389","235,585","230,608","225,380","219,596","213,627","207,206","200,257","192,749","184,628"
"Baja California Sur","68,197","66,713","65,085","63,365","61,668","59,933","58,178","56,412","54,825","53,197","51,666","50,274","49,053","47,936","46,911","45,966","45,107","44,336","43,539","42,655","41,714","40,658","39,556","38,409","37,177","35,927","34,632"
"Campeche","81,064","81,312","81,440","81,062","80,840","80,436","79,893","79,225","77,589","76,629","75,616","74,605","73,635","72,711","71,788","70,829","69,754","68,537","67,232","65,770","64,187","62,416","60,687","58,867","56,946","54,991","53,024"
"Coahuila de Zaragoza","262,849","261,455","259,604","257,100","254,291","251,138","247,883","244,737","241,574","238,459","235,717","233,552","232,073","231,300","230,985","231,048","231,383","231,708","232,030","232,325","232,258","231,514","230,519","228,901","226,670","223,823","220,292"
"Colima","62,486","62,363","62,213","61,986","61,697","61,297","60,776","60,139","59,572","58,709","57,826","56,963","56,157","55,517","54,889","54,299","53,800","53,388","53,040","52,621","52,092","51,479","50,847","50,124","49,307","48,401","47,423"
"Chiapas","515,820","512,945","508,507","495,450","488,927","481,870","474,663","467,197","440,412","431,983","423,567","415,353","407,390","399,131","390,895","382,371","373,281","363,941","352,958","342,375","331,711","321,235","310,643","299,993","289,318","278,427","267,607"
"Chihuahua","324,049","322,422","320,433","317,401","314,600","311,533","308,285","304,951","301,214","297,552","294,214","291,327","288,945","287,171","285,579","283,918","282,458","281,020","279,539","277,928","276,049","273,759","271,411","268,640","265,340","261,439","256,771"
"Ciudad de México","676,925","687,350","698,267","708,394","719,753","731,238","742,965","754,930","768,168","779,186","790,154","801,455","813,350","826,129","839,032","851,911","864,850","877,735","891,237","904,284","917,164","929,048","938,856","947,011","953,795","958,968","962,148"
"Durango","163,495","163,224","162,609","161,615","160,258","158,644","156,940","155,195","152,814","151,037","149,398","148,079","147,149","147,010","147,058","147,177","147,386","147,663","148,503","148,896","149,093","149,062","148,851","148,408","147,617","146,534","145,230"
"Guanajuato","554,890","556,698","557,443","555,746","554,260","552,218","549,906","546,842","545,510","539,658","534,651","531,130","529,034","527,656","526,077","523,903","522,002","520,776","519,176","517,023","513,899","509,887","505,307","499,974","493,616","486,359","478,061"
"Guerrero","349,270","349,521","348,613","342,744","339,657","335,626","331,058","326,173","315,952","309,821","304,032","298,992","295,052","292,314","289,894","287,652","285,645","283,754","282,240","280,633","278,806","276,641","274,186","271,525","268,302","264,970","260,977"
"Hidalgo","258,227","258,131","257,786","256,448","255,588","254,345","252,716","250,762","249,803","246,868","244,184","242,011","240,402","239,288","238,184","237,157","236,565","236,255","235,941","235,409","234,475","233,394","231,702","229,729","227,372","224,617","221,261"
"Jalisco","706,309","706,634","706,364","704,647","702,630","699,632","695,791","691,294","688,501","681,796","675,058","668,833","663,350","659,947","656,371","652,732","649,538","646,507","644,694","642,046","638,506","634,165","628,739","622,178","614,354","605,593","595,579"
"México","1,483,965","1,479,568","1,473,921","1,465,145","1,456,459","1,445,923","1,433,851","1,420,463","1,407,804","1,391,901","1,376,483","1,361,797","1,348,127","1,336,317","1,324,969","1,313,905","1,303,707","1,294,193","1,284,944","1,273,107","1,259,142","1,242,601","1,223,045","1,200,612","1,175,143","1,146,590","1,115,146"
"Michoacán de Ocampo","422,798","425,981","428,609","429,274","430,274","430,464","430,004","428,861","423,736","420,311","416,914","414,096","412,068","411,574","410,843","409,735","408,792","407,881","407,289","406,223","404,570","402,765","400,104","396,791","392,894","388,398","383,309"
"Morelos","169,481","170,129","170,469","170,057","169,670","168,886","167,714","166,219","165,025","162,773","160,508","158,458","156,757","155,758","154,836","153,983","153,338","152,815","152,678","152,275","151,706","150,767","149,648","148,214","146,519","144,457","142,168"
"Nayarit","107,616","106,796","105,928","104,739","103,556","102,262","100,866","99,331","97,327","95,686","94,176","92,866","91,795","91,172","90,635","90,122","89,698","89,386","89,272","89,007","88,640","88,113","87,393","86,522","85,455","84,237","82,869"
"Nuevo León","429,780","426,534","423,030","418,973","415,052","411,047","407,059","403,198","399,605","396,259","393,339","390,972","389,225","388,327","387,741","387,319","387,052","386,696","386,288","385,380","383,788","381,518","378,388","374,308","369,244","363,153","356,275"
"Oaxaca","377,831","379,081","379,214","375,679","373,850","371,290","368,310","364,947","359,731","354,699","349,980","346,283","343,898","341,431","339,094","336,656","334,333","332,181","329,149","325,764","322,160","318,643","313,752","308,443","302,919","297,250","291,182"
"Puebla","585,259","585,449","584,540","579,383","576,561","572,825","568,304","562,671","546,412","539,129","532,622","527,200","522,930","518,606","514,375","510,251","506,692","503,409","498,427","492,828","486,348","480,070","471,923","463,145","453,532","443,557","432,490"
"Querétaro","186,509","186,297","185,859","185,008","184,083","182,850","181,340","179,602","178,282","175,950","173,639","171,515","169,651","167,670","165,633","163,541","161,535","159,588","157,169","154,529","151,678","148,667","145,500","142,043","138,414","134,632","130,681"
"Quintana Roo","142,643","141,242","139,687","137,657","135,852","133,879","131,723","129,378","126,607","123,802","120,818","117,705","114,509","111,127","107,567","103,828","100,000","96,086","91,777","87,428","83,029","78,524","74,140","69,789","65,439","61,192","57,009"
"San Luis Potosí","254,409","254,636","254,429","253,282","252,105","250,433","248,413","246,088","244,545","241,313","238,243","235,613","233,516","232,240","231,056","229,982","229,281","228,866","228,861","228,623","228,167","227,258","226,155","224,770","223,099","220,994","218,373"
"Sinaloa","263,227","263,154","262,626","261,743","260,352","258,669","256,936","255,244","249,666","247,856","246,341","245,246","244,643","244,801","245,156","245,544","245,816","245,862","246,465","246,786","246,822","246,153","244,918","243,008","240,472","237,403","233,783"
"Sonora","255,266","253,390","251,199","248,358","245,488","242,295","238,858","235,356","232,528","229,033","225,831","223,061","220,793","218,788","217,084","215,633","214,440","213,335","212,151","210,916","209,409","207,631","205,562","203,137","200,345","197,214","193,717"
