"","4.6.4.Tasa de alfabetización de los hombres de 15 a 24 años de edad","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Entidad Federativa","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990"
"Estados Unidos Mexicanos","10,950,296","10,915,336","10,864,722","10,795,935","10,708,545","10,605,474","10,490,969","10,368,324","10,242,771","10,118,687","10,016,936","9,944,611","9,900,332","9,878,805","9,868,694","9,865,785","9,869,752","9,881,520","9,915,909","9,947,292","9,964,835","9,960,907","9,930,580","9,872,261","9,787,254","9,677,831","9,546,219"
"Aguascalientes","122,074","121,085","119,907","118,500","116,846","114,973","112,929","110,771","108,562","106,355","104,445","102,950","101,836","101,004","100,301","99,710","99,273","98,983","99,034","99,092","99,017","98,705","98,092","97,168","95,952","94,463","92,746"
"Baja California","320,546","319,589","318,033","315,700","312,672","309,005","304,775","300,301","295,631","290,868","286,398","282,328","278,643","275,209","271,904","268,697","265,590","262,411","259,322","256,089","252,448","248,210","243,203","237,366","230,661","223,096","214,693"
"Baja California Sur","70,395","69,078","67,729","66,345","64,954","63,565","62,176","60,783","59,483","58,253","57,125","56,123","55,257","54,419","53,612","52,824","52,074","51,349","50,522","49,584","48,534","47,364","46,082","44,700","43,245","41,740","40,197"
"Campeche","83,396","83,289","83,029","82,562","81,853","80,907","79,785","78,525","77,163","75,733","74,320","72,982","71,776","70,685","69,708","68,804","67,931","67,051","66,166","65,240","64,233","63,112","61,881","60,546","59,114","57,611","56,061"
"Coahuila de Zaragoza","269,097","267,278","264,980","262,238","259,118","255,725","252,280","249,006","245,809","242,745","240,132","238,179","236,912","236,252","236,011","236,079","236,294","236,445","236,766","236,999","236,962","236,458","235,350","233,606","231,236","228,294","224,790"
"Colima","64,848","64,485","64,087","63,611","63,043","62,362","61,551","60,628","59,639","58,614","57,702","56,924","56,277","55,873","55,508","55,174","54,908","54,707","54,801","54,872","54,833","54,640","54,266","53,718","53,019","52,200","51,270"
"Chiapas","537,132","531,277","524,100","515,602","505,797","495,165","484,296","473,325","462,707","452,727","443,892","436,121","429,364","422,438","416,225","410,291","404,370","398,683","392,121","385,575","378,900","371,995","364,788","357,300","349,579","341,671","333,613"
"Chihuahua","327,192","325,051","322,820","320,499","318,142","315,991","313,746","312,699","310,435","307,658","304,969","303,005","301,695","301,001","300,494","299,936","299,304","298,559","298,478","298,374","297,961","297,028","295,397","293,000","289,815","285,856","281,140"
