"","3.7.1.Proporción de mujeres en edad reproductiva (de 15 a 49 años) con demanda satisfecha de planificación familiar con métodos modernos"
"Entidad Federativa","2014"
"Estados Unidos Mexicanos","2,122,703"
"Aguascalientes","20,267"
"Baja California","47,706"
"Baja California Sur","12,664"
"Campeche","20,182"
"Coahuila de Zaragoza","51,705"
"Colima","11,023"
"Chiapas","149,989"
"Chihuahua","48,125"
"Ciudad de México","105,258"
"Durango","28,665"
"Guanajuato","132,279"
"Guerrero","76,850"
"Hidalgo","54,263"
"Jalisco","133,593"
"México","248,550"
"Michoacán de Ocampo","95,510"
"Morelos","31,373"
"Nayarit","21,084"
"Nuevo León","75,197"
"Oaxaca","105,022"
"Puebla","110,979"
"Querétaro","35,753"
"Quintana Roo","34,352"
"San Luis Potosí","46,369"
"Sinaloa","34,422"
"Sonora","40,220"
"Tabasco","45,904"
"Tamaulipas","55,128"
"Tlaxcala","21,628"
"Veracruz de Ignacio de la Llave","160,350"
"Yucatán","38,238"
"Zacatecas","30,055"
