"","3.7.1.Proporción de mujeres en edad reproductiva (de 15 a 49 años) con demanda satisfecha de planificación familiar con métodos modernos"
"Entidad Federativa","2014"
"Estados Unidos Mexicanos","12,667,419"
"Aguascalientes","125,976"
"Baja California","384,306"
"Baja California Sur","88,955"
"Campeche","103,226"
"Coahuila de Zaragoza","347,624"
"Colima","81,127"
"Chiapas","449,906"
"Chihuahua","427,325"
"Ciudad de México","809,097"
"Durango","189,931"
"Guanajuato","585,957"
"Guerrero","346,132"
"Hidalgo","331,148"
"Jalisco","763,852"
"México","1,946,916"
"Michoacán de Ocampo","447,753"
"Morelos","204,850"
"Nayarit","137,451"
"Nuevo León","556,503"
"Oaxaca","349,845"
"Puebla","632,426"
"Querétaro","213,611"
"Quintana Roo","190,020"
"San Luis Potosí","281,615"
"Sinaloa","338,305"
"Sonora","314,978"
"Tabasco","257,211"
"Tamaulipas","395,534"
"Tlaxcala","146,474"
"Veracruz de Ignacio de la Llave","833,855"
"Yucatán","219,098"
"Zacatecas","166,412"
