"","3.7.1.Proporción de mujeres en edad reproductiva (de 15 a 49 años) con demanda satisfecha de planificación familiar con métodos modernos"
"Entidad Federativa","2014"
"Estados Unidos Mexicanos","18,546,841"
"Aguascalientes","190,648"
"Baja California","518,173"
"Baja California Sur","121,537"
"Campeche","155,329"
"Coahuila de Zaragoza","486,713"
"Colima","113,744"
"Chiapas","808,699"
"Chihuahua","577,168"
"Ciudad de México","1,110,969"
"Durango","267,141"
"Guanajuato","948,719"
"Guerrero","543,607"
"Hidalgo","469,726"
"Jalisco","1,183,148"
"México","2,646,715"
"Michoacán de Ocampo","716,061"
"Morelos","288,081"
"Nayarit","188,632"
"Nuevo León","802,762"
"Oaxaca","594,028"
"Puebla","919,597"
"Querétaro","314,468"
"Quintana Roo","280,424"
"San Luis Potosí","413,125"
"Sinaloa","444,054"
"Sonora","429,224"
"Tabasco","390,870"
"Tamaulipas","556,154"
"Tlaxcala","209,112"
"Veracruz de Ignacio de la Llave","1,262,000"
"Yucatán","341,344"
"Zacatecas","254,869"
