"","3.2.5.Tasa de mortalidad en niños menores de 5 años por enfermedades diarreicas (defunciones por cada 100 mil menores de 5 años)","","","","","","","","","","","","","","","","","","","","","","","","",""
"Entidad Federativa","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990"
"Estados Unidos Mexicanos","806","867","1,046","946","990","1,009","1,182","1,505","1,863","1,966","2,385","2,368","2,801","2,891","3,168","3,436","3,751","4,454","5,075","5,840","6,641","7,823","10,057","11,064","15,551","16,606"
"Aguascalientes","3","3","6","9","2","8","4","11","8","12","7","11","17","15","14","23","20","29","30","28","39","45","56","59","89","96"
"Baja California","11","10","14","19","11","9","16","10","17","20","17","34","33","30","31","52","45","52","90","95","106","101","108","137","140","191"
"Baja California Sur","0","1","5","3","2","4","4","6","1","5","5","3","8","4","8","10","9","8","7","7","11","6","24","15","20","27"
"Campeche","9","2","5","8","3","4","5","3","16","11","8","10","9","11","11","16","14","20","20","25","51","38","68","72","121","109"
"Coahuila de Zaragoza","0","9","11","9","8","12","5","19","16","15","24","26","19","39","43","31","33","51","35","80","76","81","107","91","103","161"
"Colima","5","3","4","1","0","0","3","1","9","6","7","6","7","7","9","5","14","6","20","16","26","21","38","40","54","63"
"Chiapas","204","183","181","199","188","188","274","259","344","406","429","399","492","466","556","520","502","744","923","873","926","1,095","1,356","1,652","2,417","1,922"
"Chihuahua","33","25","42","34","36","38","24","44","50","46","60","52","53","42","66","78","101","91","115","119","135","152","114","117","158","330"
"Ciudad de México","18","28","44","32","33","26","47","35","52","50","69","61","63","68","62","98","103","72","113","159","152","198","225","238","314","465"
"Durango","10","14","13","7","12","12","8","13","13","10","13","17","24","10","17","49","45","55","42","81","53","87","108","87","154","193"
"Guanajuato","20","28","37","33","30","17","36","49","60","48","104","96","101","116","174","206","247","230","290","346","403","467","556","650","818","1,083"
"Guerrero","37","37","58","46","48","37","39","84","129","90","170","170","255","232","210","264","228","313","313","476","407","684","990","918","1,246","1,083"
"Hidalgo","9","9","9","20","27","9","21","30","56","35","36","31","29","76","55","48","86","72","84","98","128","147","186","186","311","352"
"Jalisco","35","27","35","44","30","33","33","47","45","72","76","77","84","100","104","135","153","120","182","198","215","239","307","321","507","655"
"México","95","137","144","129","154","157","196","218","287","294","299","376","363","380","432","509","533","526","661","761","823","904","1,272","1,353","1,763","2,189"
"Michoacán de Ocampo","32","28","36","28","28","40","39","69","62","50","86","97","89","101","106","120","164","197","211","283","282","339","386","449","638","666"
"Morelos","7","10","12","9","11","12","9","20","23","19","32","28","38","35","28","44","55","46","51","63","72","76","102","123","172","181"
"Nayarit","8","17","14","13","2","4","11","13","3","14","18","18","26","29","19","19","17","32","28","27","44","47","64","60","92","110"
"Nuevo León","4","9","3","7","14","11","11","17","16","16","21","18","28","23","20","22","35","39","32","51","70","63","68","98","109","193"
"Oaxaca","73","66","86","62","83","85","109","140","137","192","227","199","256","270","318","256","293","423","460","429","579","730","1,183","1,266","1,778","1,636"
"Puebla","42","46","58","67","77","76","81","110","153","140","188","179","204","231","258","244","265","366","316","454","534","610","773","817","1,242","1,207"
"Querétaro","4","6","11","10","8","12","13","18","28","15","28","29","29","33","38","52","49","63","78","78","93","112","124","137","212","273"
"Quintana Roo","16","10","17","8","13","14","14","17","23","24","17","16","20","13","24","19","20","26","24","18","34","35","43","45","73","83"
"San Luis Potosí","20","14","22","17","12","22","14","45","58","48","58","56","68","67","79","84","102","110","103","130","185","193","214","229","329","440"
"Sinaloa","8","9","9","7","6","17","13","17","17","20","17","26","31","33","27","39","51","65","81","94","80","90","158","177","190","172"
"Sonora","12","15","17","16","16","24","15","23","21","30","22","24","33","22","50","56","57","56","55","95","101","155","154","153","193","272"
"Tabasco","8","13","21","20","22","16","17","21","31","36","39","50","56","55","41","49","50","100","99","95","113","100","122","171","344","331"
"Tamaulipas","5","8","10","7","11","8","5","21","18","21","24","26","26","53","45","40","40","42","42","64","104","109","92","105","150","249"
"Tlaxcala","5","6","9","5","9","12","10","11","20","22","26","27","35","33","27","44","47","52","58","68","67","83","97","135","154","173"
"Veracruz de Ignacio de la Llave","56","71","88","52","68","76","76","92","108","139","182","161","243","223","237","241","287","367","415","424","591","635","754","943","1,321","1,307"
"Yucatán","15","17","17","20","18","22","22","27","27","48","50","21","42","55","36","36","41","51","58","52","73","105","99","89","174","160"
"Zacatecas","2","6","8","5","8","4","8","15","15","12","26","24","20","19","23","27","45","30","39","53","68","76","109","131","165","234"
