"","3.1.2.Proporción de partos con asistencia de personal sanitario especializado","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Entidad Federativa","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990"
"Estados Unidos Mexicanos","2,212,681","2,247,413","2,241,948","2,255,722","2,272,789","2,260,767","2,103,332","1,988,311","2,095,878","2,078,244","2,053,522","2,040,580","2,032,959","2,078,056","2,096,112","2,135,550","2,248,202","2,199,023","2,199,297","2,159,524","2,168,228","2,196,628","2,228,029","2,259,681","2,292,034","2,259,863","2,265,912"
"Aguascalientes","28,715","28,586","28,718","28,694","28,836","28,353","27,145","26,145","27,140","26,944","27,038","27,084","27,440","27,427","26,748","25,130","28,407","25,300","25,957","26,247","25,996","26,760","27,230","26,707","26,527","26,117","25,328"
"Baja California","59,675","58,864","58,412","56,410","57,885","56,386","40,626","41,176","38,644","37,457","38,387","43,831","38,758","42,127","47,624","48,775","53,445","53,338","52,885","51,497","47,381","46,880","46,211","46,609","47,585","46,722","47,406"
"Baja California Sur","11,945","12,241","12,467","12,329","12,732","12,467","12,852","13,094","12,994","11,994","11,296","10,628","10,608","10,434","10,331","10,109","9,982","9,544","9,571","9,220","8,642","8,781","8,802","8,808","8,994","8,363","8,483"
"Campeche","15,142","16,394","15,921","16,077","15,585","15,178","15,309","15,038","14,576","14,092","13,690","13,224","13,422","12,926","12,866","12,869","13,900","14,052","14,100","14,025","14,919","15,098","14,748","14,294","14,813","14,633","14,868"
"Coahuila de Zaragoza","58,894","60,278","59,689","59,434","58,274","55,977","49,233","50,737","51,252","51,614","50,801","49,180","47,008","48,199","51,361","50,192","57,077","53,634","53,198","53,019","52,347","54,906","55,271","53,186","53,187","54,759","55,408"
"Colima","15,242","14,814","15,106","14,741","14,108","14,289","13,678","13,665","13,306","12,781","12,212","12,239","12,008","11,489","11,827","11,508","10,970","11,762","12,618","12,198","12,691","12,873","13,029","12,883","13,197","12,970","13,175"
"Chiapas","108,042","109,025","109,831","109,983","109,062","112,258","104,469","105,504","97,222","90,944","89,418","85,634","83,794","81,834","85,496","90,136","93,136","83,805","79,570","81,290","85,269","87,433","85,517","89,203","91,904","90,886","88,570"
"Chihuahua","69,123","69,660","69,158","68,688","68,574","67,911","55,629","57,533","58,581","56,809","55,119","56,279","58,670","60,570","62,659","65,294","67,808","66,477","65,303","64,021","62,517","63,026","63,549","62,360","64,508","63,999","63,525"
"Ciudad de México","139,655","146,652","155,680","157,327","160,747","160,450","163,972","153,024","173,222","180,740","184,825","194,733","198,878","198,824","205,991","208,886","211,782","209,221","212,273","215,240","219,342","230,127","240,916","239,980","250,246","248,244","254,126"
"Durango","33,160","33,883","33,730","34,416","34,486","34,258","33,120","33,180","31,251","29,521","29,686","30,411","31,347","31,626","32,207","33,041","33,995","34,955","37,724","35,773","33,993","34,939","35,061","35,134","35,175","34,971","35,725"
"Guanajuato","114,842","115,991","116,206","118,068","121,260","120,626","109,317","106,443","105,788","104,152","102,548","105,215","106,604","105,865","112,154","115,070","120,516","119,212","119,332","118,080","118,209","121,435","123,207","123,807","124,184","122,749","120,894"
"Guerrero","70,651","71,369","71,881","72,730","72,497","75,109","65,479","65,065","63,359","60,083","58,028","57,991","58,415","57,722","59,019","59,118","61,613","66,090","66,194","64,027","69,839","76,883","76,816","76,838","72,676","66,681","66,594"
"Hidalgo","54,387","55,290","55,117","56,115","55,792","56,147","52,682","48,540","49,237","49,540","49,598","49,433","48,197","49,003","50,233","49,098","51,240","48,890","51,198","49,339","50,426","53,771","54,491","54,850","54,077","54,332","52,974"
"Jalisco","141,174","146,164","151,383","152,131","154,369","154,763","146,485","142,077","138,083","133,254","124,569","125,294","100,089","130,854","103,882","118,722","154,706","154,213","154,451","148,491","149,435","154,482","159,421","157,824","162,033","159,057","159,438"
"México","290,980","288,224","274,661","279,809","289,751","280,744","248,767","154,879","258,388","267,264","270,192","262,871","260,169","261,555","262,199","263,512","266,426","257,749","250,677","241,883","237,955","244,840","244,674","240,637","243,082","239,606","234,224"
"Michoacán de Ocampo","85,539","87,963","89,702","92,522","92,856","88,643","91,118","88,672","84,681","80,207","78,782","81,968","85,368","86,857","89,846","91,856","96,827","96,002","97,730","97,078","97,816","50,626","61,449","100,700","107,022","107,860","109,571"
"Morelos","32,745","33,624","34,091","34,750","34,203","33,480","31,284","30,717","30,489","29,804","29,968","29,705","29,919","29,500","30,401","30,920","31,848","30,915","30,653","29,767","30,438","31,692","32,351","33,245","33,029","33,057","33,354"
"Nayarit","20,121","20,260","19,196","20,187","20,067","19,697","17,832","17,558","17,827","18,044","17,553","17,588","17,566","17,461","17,979","18,034","19,251","19,397","19,672","18,880","19,477","20,745","21,298","20,998","21,119","21,088","21,977"
"Nuevo León","93,858","94,029","91,528","88,370","83,117","85,527","86,017","86,141","85,672","85,588","83,092","81,069","81,245","81,485","80,708","86,945","92,293","89,036","87,912","83,294","79,975","82,110","82,569","81,551","80,043","79,325","78,329"
"Oaxaca","79,473","79,248","80,402","80,314","80,075","80,707","79,014","77,435","77,112","75,071","75,047","75,112","77,241","77,089","77,757","77,830","83,503","81,870","82,187","83,835","86,203","91,952","89,958","89,666","90,191","88,052","91,341"
"Puebla","122,858","123,726","121,419","124,265","125,074","121,017","117,832","117,827","119,751","119,256","118,370","116,777","118,977","119,549","122,546","123,810","123,690","121,463","122,716","119,647","118,120","122,517","123,608","124,158","126,557","124,356","127,592"
"Querétaro","41,130","41,716","41,985","41,403","41,905","41,260","40,461","39,759","40,162","40,213","38,402","37,986","37,128","37,631","37,350","36,969","36,865","35,795","34,516","33,429","34,899","36,762","37,312","37,257","36,362","34,999","34,735"
