"","3.3.7.Proporción de niños de un año de edad vacunados contra el sarampión","","","","","","","","","","","","","","","","","","","","","","",""
"Entidad Federativa","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1990"
"Estados Unidos Mexicanos","2,230,281","2,162,938","1,961,185","1,914,477","1,834,563","1,851,192","1,892,025","1,612,241","1,588,430","1,620,812","1,681,278","1,738,217","1,694,999","1,740,185","1,837,148","1,771,631","1,753,782","1,772,878","2,075,734","2,127,069","2,055,349","2,079,133","1,692,405","1,698,442"
"Aguascalientes","30,066","25,058","23,558","23,037","21,469","21,803","24,504","25,257","24,823","21,355","21,817","24,350","24,354","24,150","20,567","21,796","22,737","21,455","23,016","23,432","22,337","21,609","21,104","16,863"
"Baja California","61,009","56,493","43,184","54,761","54,386","48,710","50,641","43,152","43,291","45,445","45,128","46,944","51,975","49,151","54,065","45,796","42,938","45,788","41,093","45,535","48,086","45,461","43,338","35,267"
"Baja California Sur","13,969","12,841","12,606","10,522","8,746","8,561","9,333","8,301","8,301","8,417","8,602","8,539","8,076","7,339","7,883","7,844","8,153","8,969","7,681","8,455","8,313","8,291","7,507","5,556"
"Campeche","16,832","16,338","16,291","14,307","13,929","13,303","11,098","13,909","14,125","14,560","14,861","14,319","14,046","13,568","14,143","13,041","13,608","14,431","15,707","15,723","15,680","15,620","14,856","12,094"
"Coahuila de Zaragoza","56,981","52,245","47,587","46,376","44,935","46,079","45,956","38,869","34,137","34,137","34,137","36,541","37,347","41,066","42,381","41,368","41,193","40,332","50,499","50,530","43,369","42,224","33,948","43,332"
"Colima","10,742","11,828","11,666","10,519","9,769","9,726","9,475","13,858","8,924","9,048","9,326","9,369","9,094","8,556","9,686","9,423","9,704","8,316","10,923","11,052","11,264","11,500","10,901","8,930"
"Chiapas","114,428","112,031","120,049","95,802","90,499","90,872","92,005","78,724","77,740","71,182","78,993","75,686","78,948","82,281","89,680","75,735","76,256","77,445","92,971","89,897","84,869","86,794","82,289","66,808"
"Chihuahua","70,321","63,446","54,147","55,631","56,026","56,849","56,781","62,053","28,510","50,450","51,127","51,336","46,751","43,861","47,371","41,927","46,639","48,713","62,739","63,694","63,632","62,935","60,159","51,366"
"Ciudad de México","122,872","124,977","133,716","123,690","123,666","123,614","132,843","75,615","86,828","89,494","88,750","75,877","73,350","55,611","71,633","83,363","82,704","61,546","126,480","132,336","98,420","141,854","NA","159,970"
"Durango","38,908","33,179","31,518","27,778","26,898","27,380","27,697","25,498","25,492","27,157","28,380","28,493","27,459","29,595","30,937","28,811","31,784","30,849","33,857","35,124","36,103","35,204","31,641","30,875"
"Guanajuato","146,485","110,648","117,738","99,953","93,059","93,838","108,250","106,678","104,373","104,373","114,291","113,474","112,644","111,859","116,021","110,622","103,109","103,117","110,117","109,930","104,001","108,345","104,512","85,234"
"Guerrero","91,238","72,162","48,466","62,504","58,206","59,569","50,800","67,952","71,035","69,384","75,497","76,721","76,069","76,202","83,710","74,409","68,808","73,709","83,418","84,978","84,155","83,520","77,563","56,226"
"Hidalgo","57,736","51,383","41,204","45,331","41,760","42,208","38,147","42,156","45,262","42,346","43,677","43,487","44,721","43,994","45,566","43,043","41,626","43,068","52,252","53,455","53,404","51,980","47,092","38,825"
"Jalisco","130,486","143,692","123,324","126,308","117,637","120,525","125,903","118,802","108,625","104,080","119,457","119,118","128,736","115,946","134,144","148,003","145,483","151,000","138,697","139,898","129,824","135,915","103,361","102,821"
"México","261,736","302,870","250,998","256,384","256,832","261,021","270,547","159,646","166,621","168,453","184,578","229,998","178,786","242,604","251,649","231,468","217,962","239,087","253,728","259,123","263,127","258,597","209,557","199,557"
"Michoacán de Ocampo","86,598","90,888","86,218","73,792","67,981","68,840","75,863","71,414","71,807","71,285","61,674","74,901","81,007","81,387","78,353","77,483","78,442","65,127","95,891","98,688","99,372","98,597","83,608","71,767"
"Morelos","37,509","33,171","32,714","28,679","27,369","27,546","28,102","25,865","26,967","25,716","26,289","27,705","25,787","26,652","28,995","25,345","26,572","29,309","31,840","33,302","31,093","31,122","31,496","24,406"
"Nayarit","21,058","22,259","19,672","17,583","15,792","15,414","17,029","16,620","16,750","16,260","16,500","15,508","15,851","15,456","15,511","18,119","16,273","16,471","20,396","21,040","21,339","20,818","21,135","18,527"
"Nuevo León","100,071","83,518","83,651","74,787","72,871","72,947","69,280","55,708","57,491","64,487","63,992","63,068","62,315","62,122","59,251","56,013","56,002","55,386","80,027","79,705","77,933","70,303","66,986","64,875"
"Oaxaca","65,683","76,263","57,077","66,744","58,070","59,163","58,000","60,134","62,022","61,003","65,650","62,432","63,998","64,788","69,132","70,047","65,740","69,263","79,009","83,345","82,702","78,542","65,821","61,668"
"Puebla","138,039","125,110","115,081","106,783","106,393","107,159","101,480","91,861","92,906","97,012","93,054","93,033","98,999","97,797","98,569","93,019","84,139","83,120","114,405","115,874","114,818","115,813","92,547","84,532"
"Querétaro","45,594","36,317","36,566","33,200","31,278","30,956","36,770","27,924","26,540","27,553","28,416","35,215","34,559","35,464","33,731","32,322","34,481","35,201","29,367","31,873","30,044","29,939","26,513","25,267"
"Quintana Roo","31,670","26,414","25,271","26,035","25,518","25,141","22,902","17,515","13,031","13,031","14,297","13,887","16,312","17,833","18,512","18,191","17,182","15,579","19,711","19,504","18,327","17,342","14,246","12,842"
"San Luis Potosí","60,048","53,067","53,534","45,898","43,000","44,309","45,969","43,769","40,924","43,064","43,070","41,561","41,868","38,044","43,132","41,402","40,657","42,780","51,980","55,963","54,241","53,395","47,624","47,162"
"Sinaloa","59,975","53,320","45,887","44,010","41,664","42,544","41,022","45,499","48,540","49,087","50,166","51,281","48,441","47,752","48,990","50,052","53,994","56,243","58,637","58,276","58,574","57,858","54,280","48,376"
"Sonora","55,757","50,515","40,612","43,843","40,814","42,015","44,444","46,723","45,396","43,076","46,719","48,333","46,209","44,820","44,460","43,041","45,421","46,157","46,054","50,137","49,607","47,536","40,704","40,975"
"Tabasco","55,930","45,188","52,794","39,413","35,923","36,494","49,221","38,403","39,084","40,746","40,745","44,121","42,333","42,007","43,357","42,686","41,396","40,657","45,422","46,664","47,074","46,816","42,495","39,767"
"Tamaulipas","71,168","59,825","54,727","53,492","52,653","53,574","50,088","44,535","46,304","45,787","46,570","37,931","39,225","43,576","42,601","39,833","41,391","45,864","58,140","58,310","55,834","55,159","46,810","42,814"
"Tlaxcala","29,775","23,488","23,894","21,481","21,305","21,450","21,119","20,559","20,997","21,149","19,879","19,867","11,360","21,212","21,943","20,545","20,511","22,289","22,496","22,979","22,280","19,723","17,654","16,431"
"Veracruz de Ignacio de la Llave","87,608","129,284","96,274","127,388","120,762","122,882","118,327","80,585","86,920","94,425","97,537","106,443","106,443","106,633","119,396","116,748","125,622","129,256","149,642","157,589","155,238","155,510","125,485","123,938"
"Yucatán","27,017","33,814","28,909","32,972","32,009","32,540","32,319","21,919","20,931","22,913","23,921","25,443","24,753","24,923","27,498","26,195","28,145","24,313","34,755","35,931","35,013","35,694","33,551","29,693"
