"","3.7.1.Proporción de mujeres en edad reproductiva (de 15 a 49 años) con demanda satisfecha de planificación familiar con métodos modernos"
"Entidad Federativa","2014"
"Estados Unidos Mexicanos","13,408,991"
"Aguascalientes","136,779"
"Baja California","399,353"
"Baja California Sur","91,797"
"Campeche","108,000"
"Coahuila de Zaragoza","359,851"
"Colima","86,104"
"Chiapas","473,718"
"Chihuahua","444,505"
"Ciudad de México","834,556"
"Durango","198,754"
"Guanajuato","646,460"
"Guerrero","364,580"
"Hidalgo","340,109"
"Jalisco","857,462"
"México","2,058,969"
"Michoacán de Ocampo","487,380"
"Morelos","211,772"
"Nayarit","141,695"
"Nuevo León","590,140"
"Oaxaca","363,338"
"Puebla","677,213"
"Querétaro","227,712"
"Quintana Roo","202,886"
"San Luis Potosí","292,750"
"Sinaloa","347,050"
"Sonora","331,042"
"Tabasco","271,797"
"Tamaulipas","410,240"
"Tlaxcala","156,118"
"Veracruz de Ignacio de la Llave","874,175"
"Yucatán","246,847"
"Zacatecas","175,839"
